投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
567982,上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳怠速或行驶时车身抖动,车身附件及电器车身共振,2021-01-27,用户评分
567980,东风小康,风光580,2016款 1.5T CVT 豪华型 改款,东风风光580发动机异响 售后查不出原因,发动机异响人员技术查不出原因,2021-01-27,处理反馈
567979,吉利汽车,帝豪GS,2018款 1.8L 自动 运动版 领尚型,吉利帝豪GS车门内侧生锈腐蚀导致渗水,车身附件及电器车身生锈车身附件及电器车身漏水,2021-01-27,用户评分
567978,东风日产,逍客,2017款 2.0L CVT 智享版 国V,东风日产逍客方向盘按键有裂纹厂家不予索赔,车身附件及电器部件开裂服务态度不予索赔,2021-01-27,用户评分
567977,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙方向盘异响 车内共振异响,转向系统异响车身附件及电器车内异响,2021-01-27,处理反馈
567973,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 尊贵型,长安CS75 PLUS制动真空助力泵异响,制动系统异响制动系统刹车泵故障,2021-01-27,处理反馈
567972,吉利汽车,帝豪,2016款 1.5L CVT 向上版 三厢,吉利帝豪变速箱故障灯亮无法换挡,变速器无法换挡变速器故障灯亮,2021-01-27,处理反馈
567971,北京奔驰,奔驰E级,2018款 E 300 L 运动时尚型 改款,北京奔驰E级打方向有异响厂家未解决,转向系统异响,2021-01-27,处理反馈
567970,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领潮版,奇瑞艾瑞泽5车门生锈厂家不积极处理,车身附件及电器车身生锈,2021-01-27,处理反馈
567968,长安汽车,长安CS55 PLUS,2020款 1.5T 自动 炫动型,长安CS55 PLUS优科豪马轮胎开裂,轮胎开裂,2021-01-27,处理反馈
567966,吉利汽车,帝豪GS,2018款 1.4T 自动 运动版 领尚型,吉利帝豪GS低速行驶时后桥有异响,前后桥及悬挂系统前后桥异响服务态度否认质量问题,2021-01-27,用户评分
567965,一汽-大众奥迪,奥迪Q2L e-tron,2019款 Q2L e-tron 纯电智酷型,一汽大众奥迪Q2Le-tron 4S店服务态度差,服务态度态度蛮横,2021-01-27,信息审核
567963,一汽-大众奥迪,奥迪A6L,2014款 30 FSI CVT  舒适型,一汽大众奥迪A6L天窗漏水厂家不解决,车身附件及电器天窗漏水服务态度不解决问题,2021-01-27,信息审核
567962,远程汽车,E200,新能源厢式货车,远程汽车E200车辆启动后无法提速,车身附件及电器动力电池故障,2021-01-27,信息审核
567961,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,一汽丰田亚洲龙发动机气门室盖漏油,发动机漏油,2021-01-27,处理反馈
567959,奇瑞汽车,瑞虎5x,2020款 1.5L CVT 时尚版,奇瑞瑞虎5x变速箱挂倒挡倒车顿挫延迟,变速器顿挫变速器拖挡,2021-01-27,处理反馈
567958,江铃福特,领界,2019款 EcoBoost 145 CVT 48V 尊领型PLUS 国VI,江铃福特领界前车门异响 中控台异响,车身附件及电器门窗异响车身附件及电器中控台异响,2021-01-27,处理反馈
567956,江铃福特,领界,2020款 领界S EcoBoost 145 CVT 铂领型,江铃福特领界4S店低开购车发票新车车门异响,车身附件及电器门窗异响服务收费变相收费服务收费价格不透明,2021-01-27,处理反馈
567953,一汽-大众,探岳,2020款 380TSI 四驱 R-Line智联版,一汽大众探岳车载互联故障希望厂家处理问题,车身附件及电器车载互联故障,2021-01-27,处理反馈
567950,长城汽车,WEY VV6,2019款 2.0T 两驱 超豪型 国VI,WEY VV6后摆臂故障导致行驶过程中异响,前后桥及悬挂系统下摆臂故障,2021-01-27,处理反馈
567949,一汽-大众,速腾,2021款 280TSI DSG 豪华智联版,一汽大众速腾后备箱锁固定点下沉关闭困难,变速器异响制动系统异响车身附件及电器后备箱故障,2021-01-27,处理反馈
567946,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,吉利缤越变速箱电机厂家无货希望处理,配件争议无零配件,2021-01-27,用户评分
567944,吉利汽车,缤越,2020款 PRO 260T DCT 骑士,吉利缤越天窗胶条老化希望尽快解决,车身附件及电器密封条损坏,2021-01-27,用户评分
567942,吉利汽车,缤越,2020款 PRO 260T DCT Battle,吉利缤越4S店销售承诺未兑现提不到车,承诺不兑现销售承诺不兑现,2021-01-27,用户评分
567940,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客无任何提示行驶途中失速,变速器无法加速,2021-01-27,处理反馈
567939,威马汽车,威马EX5,2018款 EX5 400 Extra创新版,威马EX5方向盘座椅脱皮影音系统故障,车身附件及电器影音系统故障车身附件及电器部件开裂,2021-01-27,处理反馈
567938,吉利汽车,吉利ICON,2020款 1.5TD i9 BSG,吉利ICON发动机怠速低希望得到处理,发动机怠速不稳,2021-01-27,用户评分
567935,长城汽车,哈弗H9,2020款 2.0T 四驱 尊享型 5座 汽油,哈弗H9发动机烧机油严重影响使用,发动机烧机油,2021-01-27,用户评分
567933,长安福特,翼虎,2017款 EcoBoost 245 四驱 豪翼型,长安福特翼虎油箱无法加满中控台有异响,车身附件及电器中控台异响车身附件及电器汽油箱异响,2021-01-27,用户评分
567932,吉利汽车,帝豪,2017款 1.5L CVT 向上版 三厢 百万款,吉利帝豪变速箱报警 无法加速希望处理,变速器故障灯亮变速器无法加速,2021-01-27,处理反馈
567930,上汽通用五菱,宝骏560,2015款 1.8L 手动 豪华型,宝骏560变速箱分离轴承故障导致变速箱异响,变速器异响,2021-01-27,用户评分
567928,一汽-大众,速腾,2018款 280TSI 双离合 豪华型,一汽大众速腾副驾驶空调出风口异响,车身附件及电器空调问题,2021-01-27,处理反馈
567926,天津一汽,骏派CX65,2018款 1.5L 手动 豪华型,天津一汽骏派CX65变速箱异响发动机异响,发动机异响变速器异响车身附件及电器空调问题车身附件及电器安全带故障,2021-01-27,信息审核
567921,广汽丰田,雷凌,2017款 185T CVT 新锐版 国V 改款,广汽丰田雷凌刹车后车辆振动 转速不稳,发动机抖动发动机怠速不稳,2021-01-27,处理反馈
567920,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾飞轮异响严重希望4S店解决,变速器异响,2021-01-27,用户评分
567919,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉低速行驶变速箱顿挫异响,变速器异响变速器顿挫,2021-01-27,处理反馈
567918,华晨中华,中华V7,2019款 运动款 300T 自动 尊贵型,华晨中华V7中控死机黑屏厂家不回访,车身附件及电器影音系统故障服务态度厂家不回复,2021-01-27,处理反馈
567916,庆铃汽车,TAGA达咖,2018款 3.0T 四驱 豪华版,庆铃TAGA达咖空调暖风故障灯光变暗,车身附件及电器电路故障,2021-01-27,信息审核
567915,一汽-大众奥迪,奥迪A6L,2018款 35 TFSI 双离合 运动型,一汽大众奥迪A6L方向机安全卡扣断裂,转向系统异响转向系统转向机故障,2021-01-27,信息审核
567911,上汽大众,Polo,2019款 Plus 1.5L 自动 全景乐享版,上汽大众Polo车窗玻璃出厂日期不一致,销售欺诈出售问题车,2021-01-27,处理反馈
567909,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客低速行驶时变速箱顿挫,变速器顿挫,2021-01-27,用户评分
567908,长安汽车,逸动,2020款 PLUS 蓝鲸NE 1.4T GDI DCT 尊贵型,长安逸动厂家赠送保养经销商不兑现 GPS收费,服务收费变相收费承诺不兑现销售承诺不兑现,2021-01-27,处理反馈
567907,比亚迪,宋Pro新能源,2019款 DM 1.5T 四驱 性能版 旗舰型,比亚迪宋Pro新能源辅助驾驶功能与宣传不符,销售欺诈与宣传不符,2021-01-27,用户评分
567902,一汽-大众奥迪,奥迪A4L,2018款 2.0T 进取型 30周年年型,大众奥迪A4L发动机舱异响4S店否认问题,发动机异响服务态度否认质量问题,2021-01-27,信息审核
567900,长城汽车,炮,2020款 2.0T 越野版 自动 汽油 四驱 高阶版 GW4C20B,长城炮变速箱P挡不回位D挡无法行驶,变速器无法换挡变速器无法加速,2021-01-27,处理反馈
567899,长安汽车,长安CS55 PLUS,2021款 蓝鲸版 1.5T DCT 豪华型,长安CS55 PLUS变速箱顿挫 倒挡无法行驶,变速器顿挫变速器无法加速,2021-01-27,处理反馈
567898,长安福特,蒙迪欧,2018款 EcoBoost 180 智控时尚型 国V,长安福特蒙迪欧车载USB接口无法充电,车身附件及电器车载互联故障,2021-01-27,处理反馈
567895,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 时尚型 国VI,一汽大众奥迪A3发动机机油不足导致报警,发动机漏油发动机烧机油,2021-01-27,信息审核
567891,广汽本田,飞度,2006款 飞度 1.5 CVT,广汽本田飞度变速箱挂挡不走轻给油窜车,变速器顿挫,2021-01-27,处理反馈
567889,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国V,一汽大众迈腾变速箱异响顿挫 加速无力,变速器异响变速器顿挫变速器无法加速服务态度不解决问题,2021-01-27,用户评分
567888,北京现代,领动,2018款 1.4T 双离合 炫动·活力型,北京现代领动行驶时变速器持续异响,变速器异响,2021-01-27,处理反馈
567887,比亚迪,比亚迪F3,2010款 1.5 手动 新白金版实用型,比亚迪F3底盘生锈腐蚀要求厂家尽快解决,车身附件及电器车身生锈,2021-01-27,处理反馈
567886,吉利汽车,远景,2018款 1.5L 手动 幸福版,吉利远景车门及车身螺栓生锈厂家不处理,车身附件及电器车身生锈车身附件及电器密封条损坏,2021-01-27,用户评分
567880,上汽大众,桑塔纳,2021款 1.5L 自动 风尚版,上汽大众桑塔纳合格证二维码无法识别车辆,服务态度不解决问题服务流程不完善手续不齐,2021-01-27,用户评分
567879,北京现代,途胜,2015款 1.6T   双离合 两驱 领先型,北京现代途胜经销商进行全车检查周期长,人员技术操作不规范,2021-01-27,处理反馈
567878,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱进入紧急运行模式,变速器滑阀箱故障变速器电脑板故障,2021-01-27,处理反馈
567876,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑车身共振异响严重,车身附件及电器车身异响车身附件及电器车身共振,2021-01-27,处理反馈
567875,一汽-大众奥迪,奥迪A6L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A6L行驶自动加速4S店不解决,变速器顿挫服务态度不解决问题,2021-01-27,信息审核
567873,奥迪（进口）,奥迪A5,2019款 Sportback 40 TFSI 时尚型,奥迪A5发动机怠速异响要求更换发动机,发动机异响,2021-01-27,信息审核
567871,吉利汽车,帝豪GL,2018款 1.4T 自动 尊贵智联型,吉利帝豪GL变速箱异响抖动 车身异响,变速器异响变速器抖动车身附件及电器车身异响,2021-01-27,用户评分
567870,吉利汽车,星越,2019款 350T 耀星者,吉利星越氛围灯故障有断点希望厂家更换,车身附件及电器车灯不亮,2021-01-27,处理反馈
567868,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达刹车方向盘失控 后轮打滑,变速器跳挡转向系统失灵制动系统刹车失灵车身附件及电器行车安全辅助系统故障,2021-01-27,处理反馈
567865,广汽本田,雅阁,2018款 2.0L 锐智版 锐·混动 国VI,广汽本田雅阁变速箱故障灯亮要求厂家处理,变速器故障灯亮,2021-01-27,用户评分
567864,华晨宝马,宝马3系,2016款 316i 时尚型,华晨宝马3系发动机烧机油抖动4S店不予索赔,发动机抖动发动机烧机油服务态度不予索赔,2021-01-27,用户评分
567861,上汽集团,荣威RX5,2018款 30T 自动 四驱 互联网智尊版,上汽荣威RX5行驶时发动机熄火无法启动,发动机熄火发动机无法启动,2021-01-27,用户评分
567860,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜三元催化故障 不予索赔,车身附件及电器三元催化器故障服务态度不予索赔,2021-01-27,用户评分
567859,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧防冻液渗漏发动机烧机油,发动机烧机油发动机漏防冻液,2021-01-27,用户评分
567858,长城汽车,哈弗F7,2020款 1.5T 两驱 i潮,哈弗F7踩油门时油门踏板处异响变速箱跳挡,发动机油门故障变速器跳挡车身附件及电器影音系统故障车身附件及电器电瓶故障,2021-01-27,处理反馈
567857,长安汽车,逸动XT,2018款 1.6L GDI 自动 风潮型 国V,长安逸动XT引擎盖以及车门多处生锈,车身附件及电器车身生锈,2021-01-27,处理反馈
567855,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机烧机油漏油,发动机漏油发动机烧机油,2021-01-27,用户评分
567854,上汽集团,名爵HS,2019款 20T 自动 两驱 Trophy超跑版 国VI,上汽名爵HS变速箱升降挡时有异响,变速器异响,2021-01-27,用户评分
567852,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动冬天打方向异响维修后未解决,转向系统异响,2021-01-27,处理反馈
567851,吉利汽车,缤越,2019款 260T DCT 游侠 运动款 国V,吉利缤越变速箱换挡异响厂家不解决,变速器异响服务态度不解决问题,2021-01-27,用户评分
567850,广汽丰田,雷凌,2016款 1.6G CVT 精英版,广汽丰田雷凌减震器漏油希望给予解决,前后桥及悬挂系统减震器漏油,2021-01-27,处理反馈
567849,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾首保时发现车辆保养过,销售欺诈出售问题车,2021-01-27,处理反馈
567846,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动跑高速时岀现方向卡滞,转向系统卡滞,2021-01-27,处理反馈
567845,上汽大众,朗逸,2018款 1.5L 自动 风尚版 经典 国VI,上汽大众朗逸经销商操作不规范修出新问题,人员技术修出新问题人员技术操作不规范服务流程不完善手续不齐,2021-01-27,处理反馈
567843,吉利汽车,帝豪,2017款 1.5L 手动 向上版 三厢 百万款,吉利帝豪热车行驶时转向异响厂家不解决,转向系统异响,2021-01-27,处理反馈
567840,奇瑞汽车,瑞虎3,2014款 1.6L 手动 智尚版 5座,奇瑞瑞虎3转向异响后备箱异响 转向机漏油,转向系统异响转向系统漏油车身附件及电器后备箱故障,2021-01-27,处理反馈
567837,上汽大众,帕萨特新能源,2019款 430PHEV 混动 豪华版,上汽大众帕萨特新能源机油增多启动困难,发动机机油增多发动机无法启动,2021-01-27,用户评分
567835,东风本田,思域,2016款 220TURBO 自动 豪华版,本田思域D挡怠速发动机抖动 中控异响,发动机抖动车身附件及电器中控台异响,2021-01-27,处理反馈
567834,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸底盘异响4S店未找到原因,前后桥及悬挂系统底盘异响人员技术查不出原因,2021-01-27,处理反馈
567832,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾发动机内高压泵异响现象严重,发动机异响,2021-01-27,处理反馈
567831,上汽集团,荣威RX5 MAX,2021款 Supreme系列 400TGI 自动 智能座舱尊荣版,荣威RX5 MAX斑马车机系统网络故障无法使用,车身附件及电器车载互联故障,2021-01-26,处理反馈
567830,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越空调控制面板 辅助开关开裂,车身附件及电器部件开裂,2021-01-26,用户评分
567828,领克,领克05,2020款 2.0TD 两驱 耀Halo,领克05新车车机高德地图已绑定他人微信,服务态度厂家不回复其他服务问题其他,2021-01-26,用户评分
567825,长安福特,金牛座,2015款 245  豪华型,长安福特金牛座后备箱漏水 天窗无法开启,车身附件及电器车身漏水车身附件及电器天窗开关异常,2021-01-26,处理反馈
567824,一汽-大众,速腾,2021款 280TSI DSG 舒适智联版,一汽大众速腾4S店强制收服务费与店内上保险,服务收费变相收费服务收费强制购买,2021-01-26,处理反馈
567823,东风日产,奇骏,2020款 2.0L XL ITS CVT 2WD 智联舒适版,东风日产奇骏颠簸时内饰异响 后悬挂异响,前后桥及悬挂系统悬挂故障车身附件及电器车内异响,2021-01-26,处理反馈
567821,东风乘用车,风神AX7,2019款 经典 260T 自动 豪华型,东风风神AX7发动机故障报警 变速箱无法换挡,发动机故障灯亮发动机怠速不稳发动机动力消失变速器无法换挡车身附件及电器车载互联故障车身附件及电器车窗升降故障,2021-01-26,处理反馈
567816,东南汽车,V3菱悦,2015款 1.5L 手动 风采版,东南V3菱悦怠速抖动共振影响正常驾驶,发动机抖动车身附件及电器车身共振,2021-01-26,处理反馈
567815,吉利汽车,吉利ICON,2020款 1.5TD i9 BSG,吉利ICON仪表漏光 方向盘不正 发动机费油,发动机油耗高转向系统方向盘不正车身附件及电器仪表故障,2021-01-26,处理反馈
567813,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动ABS传感器与防侧滑故障灯亮,车身附件及电器行车安全辅助系统故障车身附件及电器传感器故障,2021-01-26,处理反馈
567812,吉利汽车,远景X6,2020款 1.4T 手动 豪华型,吉利远景X6发动机故障灯亮车辆没有动力,发动机故障灯亮,2021-01-26,处理反馈
567808,长安福特,锐界,2021款 PLUS EcoBoost 245 两驱 豪锐型 7座,长安福特锐界车窗及后视镜无法控制,车身附件及电器电路故障,2021-01-26,用户评分
567805,广汽菲克Jeep,指南者,2017款 200T 自动 家享版,广汽菲克Jeep指南者变速箱突然脱挡无法挂挡,变速器无法换挡变速器脱挡,2021-01-26,厂家受理
567804,长安汽车,逸动,2014款 1.6L 手动 豪华型 国IV,长安逸动新更换的车门机盖后备箱生锈,车身附件及电器车身生锈,2021-01-26,处理反馈
567802,东风日产,奇骏,2014款 2.0L XL CVT 两驱 舒适版,东风日产奇骏变速箱无法加速 天窗漏水,变速器无法加速车身附件及电器天窗漏水,2021-01-26,处理反馈
567799,广汽本田,飞度,2014款 1.5L 手动 LX舒适型,广汽本田飞度发动机出现启动困难的现象,发动机无法启动,2021-01-26,处理反馈
567796,吉利新能源,博瑞新能源,2018款 1.5T PHEV 耀悦版,吉利博瑞新能源停车后无法继续行驶,车身附件及电器灯组开关故障,2021-01-26,用户评分
567795,广汽三菱,欧蓝德,2020款 2.0L 两驱 畅享版 7座,广汽三菱欧蓝德新车生锈4S店态度蛮横不处理,车身附件及电器车身生锈,2021-01-26,厂家受理
567793,长城汽车,哈弗H6,2021款 第三代 1.5T 自动 两驱 Max,哈弗H6车联网无法连接熄火后尾灯无法关闭,车身附件及电器车载互联故障车身附件及电器车灯模块故障,2021-01-26,处理反馈
567791,广汽本田,缤智,2017款 1.5L CVT 两驱 舒适型,广汽本田缤智冬天冷车启动时有打齿声音,发动机异响,2021-01-26,处理反馈
567784,一汽丰田,卡罗拉,2021款 1.2T S-CVT 先锋版,一汽丰田卡罗拉变速箱异响希望厂家处理,变速器异响,2021-01-26,处理反馈
567777,吉利汽车,星瑞,2021款 2.0T 旗舰型,吉利星瑞过颠簸路面时门窗异响严重,车身附件及电器门窗异响,2021-01-26,用户评分
567776,上汽通用五菱,宝骏530,2020款 1.5T CVT 尊贵互联型 6座,宝骏530发动机故障灯亮希望厂家处理问题,发动机故障灯亮,2021-01-26,用户评分
567775,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408更换发动机皮带后烧机油,发动机烧机油人员技术修出新问题,2021-01-26,处理反馈
567772,一汽-大众,速腾,2014款 1.4TSI 自动 豪华型,一汽大众速腾变速箱机电单元故障,变速器电脑板故障,2021-01-26,用户评分
567770,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L车门密封条脱落希望处理,车身附件及电器密封条损坏,2021-01-26,信息审核
567769,上汽集团,荣威RX5,2019款 20T 手动 两驱 4G互联铂金版,上汽荣威RX5紧急制动疲软希望处理,制动系统刹车偏软,2021-01-26,用户评分
567768,BEIJING汽车,BEIJING-X7,2020款 1.5TD DCT 致潮版,BEIJING-X7转向抖动 松刹车异响,转向系统抖动制动系统异响,2021-01-26,处理反馈
567767,上汽大众,帕萨特,2019款 330TSI 精英版 国VI,上汽大众帕萨特发动机漏油4S店推诿不处理,发动机漏油,2021-01-26,用户评分
567765,一汽丰田,RAV4荣放,2019款 2.0L CVT 两驱 风尚X 限量版 国VI,一汽丰田RAV4荣放座椅框架生锈 发动机氧化,车身附件及电器车身生锈车身附件及电器车身不平整,2021-01-26,处理反馈
567764,长安福特,探险者,2020款 EcoBoost 285 四驱 运动版ST-LINE 7座,长安福特探险者低速方向盘抖动 油箱异响,转向系统抖动车身附件及电器汽油箱异响,2021-01-26,处理反馈
567763,北京现代,索纳塔,2020款 380TGDi GLS 自动 豪华版,北京现代索纳塔耐克森轮胎鼓包希望处理,轮胎鼓包,2021-01-26,处理反馈
567760,长城汽车,哈弗H6,2016款 1.5T 手动 两驱 都市型 升级版,哈弗H6发动机大修后漏机油漏防冻液,发动机漏油发动机漏防冻液,2021-01-26,处理反馈
567758,长安福特,锐界,2016款 EcoBoost 245 两驱 精锐型,长安福特锐界发动机抖动 烧防冻液,发动机抖动发动机冷却系统故障,2021-01-26,处理反馈
567756,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁方向盘卡滞 中控台异响,转向系统卡滞车身附件及电器中控台异响,2021-01-26,处理反馈
567753,长安福特,福克斯,2015款 1.6L 自动 风尚型 三厢,长安福特福克斯换挡时变速箱抖动无法加速,变速器抖动变速器无法加速,2021-01-26,处理反馈
567750,上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT厂家服务态度差不解决问题,服务态度不解决问题服务态度态度蛮横,2021-01-26,用户评分
567748,沃尔沃亚太,沃尔沃S90,2018款 T5 智尊版,沃尔沃S90轮毂内侧出现裂纹存在质量问题,车身附件及电器部件开裂,2021-01-26,厂家受理
567747,东风日产,奇骏,2019款 2.0L CVT 智联舒适版 5座 2WD,东风日产奇骏发动机冷车启动冒黑烟,发动机排气故障,2021-01-26,用户评分
567746,一汽-大众奥迪,奥迪Q5L,2020款 改款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L中控台异响 发票价格不正确,车身附件及电器中控台异响销售欺诈与宣传不符,2021-01-26,信息审核
567745,江西五十铃,瑞迈,2020款 2.5T 四驱 柴油 领航国VI 瑞迈S 加长版 JE4D25Q6A,五十铃瑞迈故障灯亮爬坡无力出现熄火,发动机故障灯亮发动机功率不足,2021-01-26,信息审核
567744,一汽-大众,一汽-大众CC,2020款 330TSI 魅颜版 国VI,一汽大众CC变速箱异响售后未解决问题,变速器异响车身附件及电器天窗异响,2021-01-26,用户评分
567743,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国V,一汽大众奥迪A4L变速箱螺栓松动,变速器机械部件故障,2021-01-26,信息审核
567742,上汽大众斯柯达,速派,2018款 TSI280 DSG 舒适版 国V,斯柯达速派4S店维修后副驾驶拉手饰板破损,人员技术修出新问题,2021-01-26,处理反馈
567741,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国VI,北京现代悦动发动机抖动 启动困难,发动机抖动发动机无法启动,2021-01-26,用户评分
567740,广汽乘用车,传祺GS5,2019款 270T 自动 精英版,广汽传祺GS5刹车异响顶棚漏水内饰发霉,制动系统异响车身附件及电器车身漏水,2021-01-26,处理反馈
567738,东风本田,本田CR-V,2021款 240TURBO CVT 两驱 舒适版,东风本田CR-V变速箱异响顿挫发动机机油增多,发动机异响发动机机油增多变速器异响变速器顿挫制动系统异响,2021-01-26,处理反馈
567736,东风日产,天籁,2020款 改款 2.0L XL 舒适版,东风日产天籁行驶过程中汽油箱存在异响,车身附件及电器汽油箱异响,2021-01-26,用户评分
567734,吉利汽车,嘉际,2021款 1.8TD DCT 豪华型,吉利嘉际厂家旅游基金承诺未兑现,承诺不兑现销售承诺不兑现,2021-01-26,用户评分
567732,上汽大众,途昂X,2020款 改款 380TSI 四驱 尊崇豪华版,上汽大众途昂X赠送保养券一直不兑现,承诺不兑现服务承诺不兑现,2021-01-26,处理反馈
567730,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统与宣传不符要求处理,销售欺诈与宣传不符,2021-01-26,处理反馈
567726,上汽大众,途岳,2020款 280TSI 两驱 豪华版PLUS 国VI,上汽大众途岳雨刮器严重异响且刮不干净,车身附件及电器雨刮器故障,2021-01-26,用户评分
567725,一汽丰田,卡罗拉,2017款 1.2T CVT GL,一汽丰田卡罗拉减震器漏油排气管支架开裂,前后桥及悬挂系统减震器漏油车身附件及电器部件开裂,2021-01-26,处理反馈
567724,一汽-大众,速腾,2020款 200TSI DSG 舒适型 国VI,一汽大众速腾两侧车身高度不一致,前后桥及悬挂系统悬挂故障,2021-01-26,处理反馈
567723,东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,东风日产轩逸发动机怠速共振抖动,发动机抖动,2021-01-26,处理反馈
567721,上汽大众,途铠,2019款 280TSI DSG 舒适版,上汽大众途铠玻璃水漏入发动机舱内,车身附件及电器车身漏水,2021-01-26,处理反馈
567720,一汽吉林,森雅R9,2018款 1.2T 手动 尊贵智悦型,一汽吉林森雅R9多个故障灯陆续报警,发动机故障灯亮发动机功率不足车身附件及电器电路故障,2021-01-26,厂家受理
567719,吉利汽车,帝豪GS,2020款 1.4T CVT 雅,吉利帝豪GS缴纳购车款后承诺保养未兑现,承诺不兑现销售承诺不兑现销售欺诈变更价格,2021-01-26,处理反馈
567718,长城汽车,欧拉黑猫,2021款 301km 基础型,欧拉黑猫升级后无法使用充电桩预约充电,服务流程不完善系统升级问题,2021-01-26,处理反馈
567717,一汽吉林,森雅R7,2016款 1.6L 手动 智能型,一汽吉林森雅R7方向盘卡顿存在质量问题,转向系统卡滞,2021-01-26,信息审核
567715,广汽本田,锋范经典,2009款 锋范 1.8 自动 舒适版,广汽本田锋范经典铝合金轮毂有严重锈蚀,车身附件及电器轮毂问题,2021-01-26,用户评分
567714,广汽乘用车,传祺GS4,2020款 270T 自动 智联科技版,广汽传祺GS4冷却液缺失希望厂家处理,发动机漏防冻液,2021-01-26,处理反馈
567713,吉利汽车,嘉际,2021款 1.8TD DCT 标准型,吉利嘉际发动机抖动 旅游基金不到账,发动机抖动承诺不兑现销售承诺不兑现,2021-01-26,处理反馈
567712,北京现代,北京现代ix35,2021款 2.0L 自动 两驱 舒适版GL,现代ix35加机油不符合说明手册未提前告知,人员技术操作不规范服务流程不完善未经同意维修,2021-01-26,用户评分
567710,东风本田,哥瑞,2016款 1.5L CVT 舒适版,东风本田哥瑞冷车启动异响存在质量问题,发动机异响,2021-01-26,用户评分
567708,广汽本田,凌派,2013款 1.8L 自动 舒适版,广汽本田凌派4S店收取高额报价费,服务收费变相收费,2021-01-26,用户评分
567707,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸购车时经销商收取服务费,服务收费变相收费,2021-01-26,处理反馈
567706,福田汽车,欧马可,2007款 欧马可N BJ1049V8PD6-3,福田欧马可空调漏氟希望厂家处理问题,车身附件及电器空调问题销售欺诈出售问题车,2021-01-26,用户评分
567705,一汽-大众,迈腾,2011款 1.4TSI 精英型,一汽大众迈腾变速箱异响抖动4S店故意隐瞒,变速器异响变速器抖动,2021-01-26,用户评分
567703,一汽-大众奥迪,奥迪A3,2020款 Sportback 35 TFSI 时尚型 国VI,一汽大众奥迪A3新车发动机故障报警,发动机故障灯亮,2021-01-26,信息审核
567702,上汽大众,凌渡,2021款 280TSI DSG 舒适版,上汽大众凌渡天窗玻璃破损厂家未回复,车身附件及电器玻璃开裂服务态度厂家不回复,2021-01-26,用户评分
567701,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳大灯起雾影响行车安全,车身附件及电器车灯进水,2021-01-26,处理反馈
567698,北京奔驰,奔驰GLB,2020款 GLB 180 动感型,北京奔驰GLB未安装碳罐电磁阀阻尼器,其他疑似设计缺陷,2021-01-26,处理反馈
